run,time,agcacc,bgcjacc,bgcmacc,cproda,agcprd,bgcjprd,bgcmprd,aglivc,stdedc,totsysc,somtc,som1c(1),som1c(2),som2c(1),som2c(2),som3c,somte(1),somse(1),tminrl(1),stream(2),stream(5),stream(6),"som1e(1,1)","som1e(2,1)","som2e(1,1)","som2e(2,1)",som3e(1),tnetmn(1)
ag1,-2000.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,10820.0000,10040.0000,30.0000,190.0000,400.0000,1750.0000,8000.0000,1272.7523,1271.2322,0.9450,0.0000,0.0000,0.0000,2.3077,19.0000,25.0000,109.3750,1142.8572,0.0000
ag1,1500.08,0.0000,0.0000,0.0000,0.0000,301.8311,177.0918,9.3206,1.0270,8.7228,11274.7324,10078.1621,6.3381,127.9779,16.2949,4249.7891,5548.1587,764.4901,760.8987,4.1640,0.0000,0.2292E-04,0.8446E-06,0.5142,9.4335,0.9325,238.7177,512.7476,0.2294
ag1,1500.17,0.0000,0.0000,0.0000,0.0000,301.8311,177.0918,9.3206,0.9285,6.3879,11270.0479,10091.2354,6.5067,128.8888,16.3561,4249.4902,5548.1040,765.0163,760.9412,4.0104,0.0045,0.4971E-04,0.1832E-05,0.5238,9.4912,0.9358,238.7024,512.7476,0.4794
ag1,1500.25,0.0000,0.0000,0.0000,0.0000,301.8311,177.0918,9.3206,0.8393,4.6789,11262.6025,10100.8350,6.8209,130.6705,16.4620,4249.1035,5548.0610,765.3438,761.0207,3.8569,0.1839,0.0001,0.5294E-05,0.5414,9.5995,0.9414,238.6783,512.7429,0.8701
ag1,1500.33,0.0000,0.0000,0.0000,0.0000,301.8311,177.0918,9.3206,0.7587,3.4272,11251.6865,10105.4355,7.2524,133.4009,16.6162,4248.6289,5547.9985,765.5057,761.1617,3.7227,0.1723,0.0006,0.2309E-04,0.5672,9.7764,0.9498,238.6495,512.7358,1.4232
ag1,1500.42,68.7195,35.3802,1.8621,105.9618,301.8311,177.0918,9.3206,67.4520,2.5493,11321.6602,10088.0957,8.5237,139.3475,17.3147,4247.3779,5547.8188,764.7312,761.6399,3.4579,0.0911,0.0083,0.0003,0.6624,10.2707,0.9956,238.6466,512.7225,2.9179
ag1,1500.50,199.5396,103.0687,5.4247,308.0330,301.8311,177.0918,9.3206,175.3501,11.6485,11473.0840,10067.4619,9.3148,139.8355,18.3617,4245.7534,5547.5435,763.6619,761.6471,0.6091,0.9743,0.0525,0.0019,0.7096,10.3203,1.0589,238.6201,512.7067,4.8348
ag1,1500.58,327.1637,169.4073,8.9162,505.4872,301.8311,177.0918,9.3206,238.9042,45.9248,11614.0869,10051.4072,9.9352,135.7947,19.5905,4243.5615,5547.2524,762.4704,761.0500,0.2978,0.0470,0.0299,0.0011,0.7252,9.9077,1.1224,238.4574,512.6848,6.8354
ag1,1500.67,0.0000,0.0000,0.0000,644.6002,416.2150,216.9659,11.4193,17.9146,305.8221,11703.2920,10036.7236,11.0513,130.5784,20.9731,4240.4658,5546.9321,761.5045,760.3132,0.4873,0.0000,0.6794E-04,0.2452E-05,0.7820,9.4235,1.1934,238.2351,512.6547,8.5663
ag1,1500.75,0.0000,0.0000,0.0000,644.6002,416.2150,216.9659,11.4193,17.8584,226.2670,11671.5215,10028.3154,13.9399,127.1499,22.4861,4237.8472,5546.7153,761.2350,759.9053,0.9511,0.0000,0.0062,0.0002,0.9904,9.1668,1.2801,238.1042,512.6343,9.4786
