run,time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
ag1,1869.75,289,3.1000,16.2833,9.9826,0.5254,5.4677,0.3023,0.0000,0.0000,5.7323,0.1538,0.0000,0.0000,5.7323,0.1538,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.0167,0.0273,0.0000,91271233536.0000,4.0667,0.1091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,14.4160,0.0075,0.0000,0.0000,0.5062,0.0223,0.0000,0.0000,5.4677,0.3023,0.0000,0.0000,5.7323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0929,0.0611,0.0000,0.0000,0.0000,0.0000,0.2768,0.0062,-5669545759460552118294179642089668608.0000,0.0000,5.2595,0.1169,-0.0428,-0.0430,0.1221,0.0027,0.0000,0.0000,2.3198,0.0516,0.0075,0.0143
ag1,1870.75,289,3.1000,43.5231,38.3755,2.0198,14.2307,0.7296,0.0000,0.0000,15.5250,0.3814,0.0000,0.0000,15.5250,0.3814,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,2.7535,0.0677,0.0000,91271233536.0000,11.0139,0.2706,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,1.7266,0.0002,0.0000,0.0000,0.4643,0.0218,0.0000,0.0000,14.2307,0.7296,0.0000,0.0000,15.5250,0.0000,0.0000,0.0000,0.0000,0.0000,0.6361,0.4184,0.0000,0.0000,0.0000,0.0000,0.9651,0.0214,-5669545759460552118294179642089668608.0000,0.0000,18.3370,0.4067,-0.0253,-0.0348,0.5178,0.0115,0.0000,0.0000,9.8390,0.2181,0.4335,1.3530
ag1,1871.50,210,36.1000,195.2021,51.1735,2.6933,84.4987,3.0013,0.0000,0.0000,102.9541,1.6599,0.0000,0.0000,102.9541,1.6599,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.5498,0.0250,0.0000,91271233536.0000,6.1994,0.0999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,21.2300,0.0562,0.0000,0.0000,0.7162,0.0366,0.0000,0.0000,84.4987,3.0013,0.0000,0.0000,102.9541,0.0000,0.0000,0.0000,0.0000,0.0000,0.4363,0.2870,0.0000,0.0000,0.0000,0.0000,6.1551,0.1361,-6366761522305850029834167958634496.0000,0.0000,37.8096,0.8361,0.0118,-0.0021,1.2314,0.0272,0.0000,0.0000,7.5646,0.1668,0.9549,8.1437
ag1,1874.75,289,3.1000,37.0598,22.1223,1.1643,12.3358,0.6429,0.0000,0.0000,12.7778,0.3245,0.0000,0.0000,12.7778,0.3245,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,2.2663,0.0576,0.0000,91271233536.0000,9.0650,0.2302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,33.0934,0.4975,0.0000,0.0000,1.0446,0.0572,0.0000,0.0000,12.3358,0.6429,0.0000,0.0000,12.7778,0.0000,0.0000,0.0000,0.0000,0.0000,0.3042,0.2001,0.0000,0.0000,0.0000,0.0000,0.5745,0.0128,-5669545759460552118294179642089668608.0000,0.0000,10.9156,0.2426,0.0722,0.0240,0.2897,0.0064,0.0000,0.0000,5.5037,0.1223,0.2340,1.7527
ag1,1875.75,289,3.1000,235.1123,66.7494,3.5131,82.3777,2.7533,0.0000,0.0000,80.9493,1.3410,0.0000,0.0000,80.9493,1.3410,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,14.3571,0.2378,0.0000,91271233536.0000,57.4282,0.9513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,0.0294,0.0001,0.0000,0.0000,0.3800,0.0229,0.0000,0.0000,82.3777,2.7533,0.0000,0.0000,80.9493,0.0000,0.0000,0.0000,0.0000,0.0000,0.1100,0.0723,0.0000,0.0000,0.0000,0.0000,2.2687,0.0504,-5669545759460552118294179642089668608.0000,0.0000,43.1061,0.9579,-0.0192,-0.0098,0.6353,0.0141,0.0000,0.0000,12.0716,0.2683,0.5928,1.8837
ag1,1876.50,210,36.1000,207.7659,66.4888,3.4994,90.5778,3.1561,0.0000,0.0000,108.9849,1.7289,0.0000,0.0000,108.9849,1.7289,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.6406,0.0260,0.0000,91271233536.0000,6.5625,0.1041,0.0000,0.0000,0.0000,0.0000,0.6988,0.9314,0.0000,0.0000,0.8403,0.0000,29.3897,0.2844,0.0000,0.0000,0.2297,0.0142,0.0000,0.0000,90.5778,3.1561,0.0000,0.0000,108.9849,0.0000,0.0000,0.0000,0.0000,0.0000,0.3224,0.2120,0.0000,0.0000,0.0000,0.0000,7.9314,0.1763,-6366761522305850029834167958634496.0000,0.0000,48.7214,1.0827,0.0176,-0.0279,1.6519,0.0367,0.0000,0.0000,10.1474,0.2255,2.3065,0.0001
ag1,1879.75,289,3.1000,58.9618,26.2975,1.3841,20.1721,0.9847,0.0000,0.0000,20.0602,0.4835,0.0000,0.0000,20.0602,0.4835,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,3.5579,0.0858,0.0000,91271233536.0000,14.2314,0.3430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,16.6728,0.8380,0.0000,0.0000,1.2354,0.0755,0.0000,0.0000,20.1721,0.9847,0.0000,0.0000,20.0602,0.0000,0.0000,0.0000,0.0000,0.0000,0.4697,0.3089,0.0000,0.0000,0.0000,0.0000,0.7243,0.0161,-5669545759460552118294179642089668608.0000,0.0000,13.7613,0.3058,0.0246,0.0188,0.3208,0.0071,0.0000,0.0000,6.0957,0.1355,0.2704,2.0815
ag1,1880.75,289,3.1000,27.5711,12.0777,0.6357,9.5900,0.5141,0.0000,0.0000,9.5300,0.2523,0.0000,0.0000,9.5300,0.2523,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.6902,0.0447,0.0000,91271233536.0000,6.7609,0.1790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,4.0498,0.2549,0.0000,0.0000,0.9146,0.0566,0.0000,0.0000,9.5900,0.5141,0.0000,0.0000,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.1150,0.0756,0.0000,0.0000,0.0000,0.0000,0.3717,0.0083,-5669545759460552118294179642089668608.0000,0.0000,7.0621,0.1569,-0.0487,-0.0329,0.1317,0.0029,0.0000,0.0000,2.5016,0.0556,0.3574,1.1605
ag1,1881.50,210,36.1000,145.1910,49.0069,2.5793,63.0278,2.5143,0.0000,0.0000,76.4118,1.3852,0.0000,0.0000,76.4118,1.3852,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,1.1503,0.0209,0.0000,91271233536.0000,4.6011,0.0834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,19.3857,0.4419,0.0000,0.0000,0.3172,0.0198,0.0000,0.0000,63.0278,2.5143,0.0000,0.0000,76.4118,0.0000,0.0000,0.0000,0.0000,0.0000,0.2501,0.1645,0.0000,0.0000,0.0000,0.0000,5.8621,0.1303,-6366761522305850029834167958634496.0000,0.0000,36.0100,0.8002,-0.0682,-0.0459,1.1992,0.0266,0.0000,0.0000,7.3663,0.1637,1.0616,8.8020
ag1,1884.75,289,3.1000,82.8886,42.0111,2.2111,28.8779,1.3319,0.0000,0.0000,28.3772,0.6487,0.0000,0.0000,28.3772,0.6487,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,5.0329,0.1151,0.0000,91271233536.0000,20.1317,0.4602,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,23.7414,0.8221,0.0000,0.0000,1.1325,0.0682,0.0000,0.0000,28.8779,1.3319,0.0000,0.0000,28.3772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0878,0.0578,0.0000,0.0000,0.0000,0.0000,1.2649,0.0281,-5669545759460552118294179642089668608.0000,0.0000,24.0331,0.5341,-0.0309,-0.0269,0.4794,0.0107,0.0000,0.0000,9.1084,0.2024,0.0721,0.1592
ag1,1885.75,289,3.1000,303.0427,86.7954,4.5682,106.0845,3.2857,0.0000,0.0000,104.3878,1.6018,0.0000,0.0000,104.3878,1.6018,0.0000,0.0000,0.0000,0.0000,0.0000,91271266304.0000,18.5141,0.2841,0.0000,91271233536.0000,74.0563,1.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,36.9091,3.8807,0.0000,0.0000,0.8061,0.0494,0.0000,0.0000,106.0845,3.2857,0.0000,0.0000,104.3878,0.0000,0.0000,0.0000,0.0000,0.0000,0.1728,0.1137,0.0000,0.0000,0.0000,0.0000,2.8848,0.0641,-5669545759460552118294179642089668608.0000,0.0000,54.8111,1.2180,0.0058,-0.0065,0.8701,0.0193,0.0000,0.0000,16.5328,0.3674,0.2181,1.6045
