run,time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
ctrl,2001.75,291,60.0000,470.7062,150.3766,7.9146,235.3531,26.3796,0.0000,0.0000,7.0606,0.3425,0.0000,0.0000,7.0606,0.3425,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,45.6585,2.2151,0.0000,8372405012537540608.0000,182.6340,8.8604,0.0000,0.0000,0.0000,0.0000,0.0934,0.0000,0.0000,0.0000,0.8403,0.0000,18.0725,0.1274,0.0000,0.0000,0.8107,0.0343,0.0000,0.0000,235.3531,26.3796,0.0000,0.0000,7.0606,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2993,0.2265,0.0000,0.0000,100.6861,4.3038,0.0012,0.0018,1.3379,0.0589,0.0000,0.0000,25.4198,1.1197,0.5386,4.1290
ctrl,2002.75,283,3.1000,659.3313,236.8922,12.4680,396.0440,11.9484,0.0000,0.0000,7.8986,0.1001,0.0000,0.0000,7.8986,0.1001,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,51.0777,0.6474,0.0000,8372405012537540608.0000,204.3110,2.5895,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,35.2269,0.5262,0.0000,0.0000,1.3978,0.0642,0.0000,0.0000,396.0440,11.9484,0.0000,0.0000,7.8986,0.0000,0.0000,0.0000,0.0000,0.0000,0.1484,0.0000,0.0000,0.0000,0.0000,0.0000,8.4542,0.1876,0.0000,0.0000,160.6294,3.5637,0.0068,-0.0143,2.0785,0.0461,0.0000,0.0000,39.4924,0.8761,1.5810,5.5271
ctrl,2003.75,291,60.0000,505.8198,134.1533,7.0607,252.9099,27.7475,0.0000,0.0000,7.5873,0.3603,0.0000,0.0000,7.5873,0.3603,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,49.0645,2.3300,0.0000,8372405012537540608.0000,196.2581,9.3198,0.0000,0.0000,0.0000,0.0000,0.1140,0.0000,0.0000,0.0000,0.8403,0.0000,9.3962,0.0858,0.0000,0.0000,0.6955,0.0289,0.0000,0.0000,252.9099,27.7475,0.0000,0.0000,7.5873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9147,0.2019,0.0000,0.0000,93.3785,3.8356,-0.0096,-0.0032,1.1114,0.0465,0.0000,0.0000,21.1169,0.8844,0.6299,5.0690
ctrl,2004.67,254,3.1000,803.1370,378.4376,19.9178,486.2814,12.9595,0.0000,0.0000,9.5057,0.1066,0.0000,0.0000,9.5057,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,61.4700,0.6894,0.0000,8372405012537540608.0000,245.8800,2.7575,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,25.0627,0.3037,0.0000,0.0000,0.8256,0.0362,0.0000,0.0000,486.2814,12.9595,0.0000,0.0000,9.5057,0.0000,0.0000,0.0000,0.0000,0.0000,0.2337,0.0000,0.0000,0.0000,0.0000,0.0000,14.0190,0.3176,0.0000,0.0000,266.3601,6.0347,0.0080,0.0065,3.0750,0.0671,0.0000,0.0000,58.4248,1.2746,5.2421,13.0514
ctrl,2005.75,299,60.0000,296.3011,71.9219,3.7854,148.4279,18.9528,0.0000,0.0000,4.4362,0.2453,0.0000,0.0000,4.4362,0.2453,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,28.6874,1.5865,0.0000,8372405012537540608.0000,114.7496,6.3462,0.0000,0.0000,0.0000,0.0000,0.0498,0.0000,0.0000,0.0000,0.8403,0.0000,20.3632,0.1227,0.0000,0.0000,1.8070,0.0709,0.0000,0.0000,148.4279,18.9528,0.0000,0.0000,4.4362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6447,0.1488,0.0000,0.0000,50.2495,2.8276,0.0331,0.0072,0.6000,0.0375,0.0000,0.0000,11.4004,0.7128,0.2829,2.2059
ctrl,2006.67,251,3.1000,658.4021,231.1891,12.1678,398.6849,12.3404,0.0000,0.0000,7.7915,0.1015,0.0000,0.0000,7.7915,0.1015,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,50.3851,0.6563,0.0000,8372405012537540608.0000,201.5405,2.6252,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,11.1430,0.1556,0.0000,0.0000,0.6490,0.0283,0.0000,0.0000,398.6849,12.3404,0.0000,0.0000,7.7915,0.0000,0.0000,0.0000,0.0000,0.0000,0.1001,0.0658,0.0000,0.0000,0.0000,0.0000,8.4270,0.1916,0.0000,0.0000,160.1124,3.6405,-0.0376,-0.0225,1.9636,0.0451,0.0000,0.0000,37.3084,0.8568,0.8895,2.2505
ctrl,2007.75,276,60.0000,353.4754,105.8921,5.5733,177.5705,20.2470,0.0000,0.0000,5.2771,0.2609,0.0000,0.0000,5.2771,0.2609,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,34.1256,1.6869,0.0000,8372405012537540608.0000,136.5022,6.7477,0.0000,0.0000,0.0000,0.0000,0.1931,0.0000,0.0000,0.0000,0.8403,0.0000,16.9051,0.2815,0.0000,0.0000,1.7735,0.0735,0.0000,0.0000,177.5705,20.2470,0.0000,0.0000,5.2771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7758,0.1568,0.0000,0.0000,71.7407,2.9785,-0.0271,-0.0271,0.9614,0.0407,0.0000,0.0000,18.2665,0.7741,1.5352,8.1207
ctrl,2008.75,275,3.1000,693.4855,340.9196,17.9431,416.0913,11.4252,0.0000,0.0000,8.3218,0.0960,0.0000,0.0000,8.3218,0.0960,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,53.8145,0.6206,0.0000,8372405012537540608.0000,215.2579,2.4825,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,47.3058,0.4891,0.0000,0.0000,1.4132,0.0624,0.0000,0.0000,416.0913,11.4252,0.0000,0.0000,8.3218,0.0000,0.0000,0.0000,0.0000,0.0000,0.2280,0.0000,0.0000,0.0000,0.0000,0.0000,12.7216,0.2687,0.0000,0.0000,241.7107,5.1053,-0.0063,0.0001,2.7287,0.0585,0.0000,0.0000,51.8447,1.1106,4.2198,16.7407
ctrl,2009.75,293,60.0000,517.0798,177.0964,9.3209,258.5399,28.6520,0.0000,0.0000,7.7562,0.3720,0.0000,0.0000,7.7562,0.3720,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,50.1567,2.4059,0.0000,8372405012537540608.0000,200.6270,9.6237,0.0000,0.0000,0.0000,0.0000,0.1770,0.0000,0.0000,0.0000,0.8403,0.0000,39.9121,0.4072,0.0000,0.0000,1.3552,0.0541,0.0000,0.0000,258.5399,28.6520,0.0000,0.0000,7.7562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6711,0.2730,0.0000,0.0000,126.7509,5.1876,0.0010,0.0010,1.3475,0.0558,0.0000,0.0000,25.6024,1.0594,1.1260,7.7227
ctrl,2010.67,250,3.1000,720.4938,358.7504,18.8816,433.2680,12.1878,0.0000,0.0000,8.6168,0.1019,0.0000,0.0000,8.6168,0.1019,0.0000,0.0000,0.0000,0.0000,0.0000,8372407211560796160.0000,55.7218,0.6586,0.0000,8372405012537540608.0000,222.8872,2.6346,0.0000,0.0000,0.0000,15.7000,0.0000,0.0000,0.0000,0.0000,0.8403,0.0000,22.3423,0.2861,0.0000,0.0000,0.7197,0.0314,0.0000,0.0000,433.2680,12.1878,0.0000,0.0000,8.6168,0.0000,0.0000,0.0000,0.0000,0.0000,0.2587,0.0000,0.0000,0.0000,0.0000,0.0000,12.3729,0.2750,0.0000,0.0000,235.0853,5.2241,0.0468,-0.0093,3.4205,0.0740,0.0000,0.0000,64.9897,1.4066,3.0731,10.3315
